iter	Passed	Remaining
0	12	12680
1	13	6984
2	15	5060
3	16	4023
4	17	3395
5	17	2964
6	18	2650
7	19	2419
8	20	2240
9	21	2093
10	22	1997
11	23	1945
12	24	1878
13	25	1828
14	27	1784
15	28	1750
16	29	1734
17	31	1717
18	32	1693
19	34	1682
20	35	1659
21	36	1644
22	38	1643
23	40	1644
24	42	1673
25	44	1671
26	45	1651
27	47	1647
28	48	1636
29	51	1675
30	53	1670
31	54	1661
32	56	1641
33	58	1655
34	60	1655
35	61	1649
36	63	1641
37	68	1744
38	71	1763
39	72	1749
40	74	1730
41	75	1727
42	76	1713
43	79	1729
44	81	1724
45	82	1718
46	84	1716
47	86	1705
48	87	1698
49	89	1692
50	90	1688
51	92	1687
52	96	1728
53	98	1717
54	99	1706
55	100	1695
56	101	1679
57	102	1670
58	104	1663
59	105	1660
60	107	1651
61	109	1657
62	111	1652
63	112	1646
64	114	1643
65	115	1636
66	118	1651
67	120	1651
68	121	1641
69	123	1640
70	127	1664
71	128	1654
72	129	1646
73	130	1638
74	132	1631
75	133	1626
76	135	1620
77	136	1615
78	137	1607
79	139	1600
80	140	1597
81	142	1591
82	142	1578
83	144	1571
84	145	1564
85	146	1556
86	147	1548
87	148	1541
88	150	1535
89	152	1537
90	153	1534
91	154	1528
92	155	1521
93	157	1518
94	159	1518
95	160	1515
96	162	1510
97	163	1504
98	164	1497
99	166	1495
100	167	1491
101	169	1488
102	170	1481
103	171	1477
104	172	1471
105	173	1464
106	174	1458
107	175	1450
108	176	1445
109	177	1439
110	179	1440
111	181	1435
112	182	1429
113	183	1424
114	184	1419
115	185	1414
116	186	1407
117	187	1403
118	188	1398
119	189	1393
120	191	1388
121	192	1382
122	193	1378
123	194	1376
124	196	1373
125	197	1368
126	198	1363
127	199	1357
128	200	1352
129	201	1348
130	202	1344
131	203	1340
132	204	1336
133	206	1337
134	209	1342
135	210	1337
136	212	1335
137	213	1331
138	214	1328
139	215	1326
140	217	1324
141	218	1318
142	218	1311
143	219	1305
144	220	1302
145	221	1298
146	224	1305
147	226	1301
148	227	1298
149	228	1292
150	229	1287
151	230	1284
152	231	1280
153	232	1277
154	233	1273
155	234	1270
156	236	1267
157	237	1267
158	239	1265
159	240	1262
160	241	1258
161	242	1255
162	243	1252
163	245	1250
164	246	1247
165	247	1244
166	249	1242
167	250	1239
168	251	1237
169	253	1235
170	254	1234
171	256	1234
172	257	1232
173	259	1230
174	260	1228
175	261	1226
176	263	1224
177	264	1222
178	265	1219
179	266	1215
180	268	1213
181	269	1209
182	270	1205
183	270	1201
184	271	1197
185	272	1193
186	273	1190
187	275	1188
188	276	1185
189	277	1183
190	278	1181
191	280	1180
192	281	1179
193	283	1178
194	284	1175
195	285	1172
196	287	1170
197	288	1167
198	289	1166
199	290	1163
200	292	1161
201	293	1159
202	294	1157
203	295	1154
204	297	1153
205	298	1151
206	299	1148
207	300	1145
208	302	1144
209	303	1142
210	304	1140
211	306	1138
212	307	1136
213	308	1134
214	310	1132
215	311	1130
216	312	1126
217	313	1122
218	314	1120
219	315	1117
220	316	1115
221	317	1112
222	318	1110
223	320	1108
224	321	1106
225	322	1104
226	323	1102
227	325	1101
228	326	1099
229	327	1097
230	329	1095
231	330	1093
232	331	1091
233	332	1089
234	334	1087
235	335	1085
236	336	1083
237	338	1083
238	339	1081
239	340	1079
240	342	1077
241	343	1075
242	344	1074
243	346	1072
244	347	1070
245	348	1067
246	349	1065
247	350	1063
248	352	1062
249	353	1060
250	354	1057
251	355	1055
252	357	1054
253	358	1053
254	359	1051
255	360	1048
256	362	1046
257	363	1045
258	364	1043
259	366	1042
260	368	1042
261	369	1039
262	370	1037
263	371	1035
264	372	1032
265	373	1031
266	375	1030
267	376	1027
268	377	1025
269	378	1024
270	382	1029
271	383	1027
272	385	1026
273	387	1025
274	388	1024
275	390	1023
276	391	1022
277	393	1022
278	395	1021
279	396	1020
280	397	1018
281	399	1017
282	401	1016
283	402	1013
284	403	1012
285	405	1011
286	406	1009
287	407	1008
288	410	1008
289	411	1006
290	412	1004
291	413	1003
292	415	1002
293	418	1003
294	420	1004
295	422	1003
296	423	1002
297	425	1001
298	427	1001
299	430	1004
300	431	1002
301	433	1001
302	435	1001
303	436	1000
304	438	1000
305	440	999
306	442	998
307	444	998
308	445	997
309	447	995
310	448	994
311	450	993
312	451	991
313	453	990
314	454	989
315	455	986
316	457	985
317	459	984
318	460	983
319	462	982
320	463	980
321	465	979
322	466	978
323	468	976
324	469	974
325	470	973
326	471	971
327	473	969
328	474	968
329	476	967
330	477	966
331	479	964
332	481	963
333	482	962
334	483	960
335	485	958
336	486	957
337	487	955
338	489	954
339	490	952
340	492	951
341	493	949
342	495	949
343	496	946
344	497	944
345	499	944
346	500	942
347	501	939
348	502	937
349	503	935
350	504	933
351	506	931
352	507	929
353	508	928
354	509	926
355	510	924
356	512	922
357	513	920
358	514	919
359	515	916
360	516	915
361	517	912
